Location,Burrito,Neighborhood,Chips,Cost,Hunger,Mass (g),Density (g/mL),Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Unreliable,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
California Burritos,California Everything,Linda Vista,,6.25,3.5,,,3.5,2,3,3.5,3.5,2.5,2.5,3.5,4.5,3.4,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,Linda Vista,,6.25,3,,,4,4,4.5,5,4.75,5,4,4.5,4.5,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California (only cheese),Linda Vista,,6.25,2,,,5,5,5,4,4,2,,5,5,5,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun Mexican & Seafood,Machaca,Encinitas,,5.99,3,,,4,3.5,3.5,4,3.5,3.5,2,3.5,0.5,3.9,,x,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,x,,,,,,
Cancun Mexican & Seafood,Adobada,Encinitas,,6.45,3,,,4,5,3.5,3,3.5,3.5,4,2.5,4,3.5,,,,X,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
Cancun Mexican & Seafood,California,Encinitas,x,6.99,4,,,4,4.5,4,3.5,4,2.5,2,4,4,4.2,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun Mexican & Seafood,California,Encinitas,,6.99,4,,,3,4.5,4,4,3.5,3,4,4,5,4,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun Mexican & Seafood,California ,Encinitas,,6.99,4.3,,,4.8,5,4,4.4,5,4,4.3,4.3,5,4.5,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun Mexican & Seafood,California ,Encinitas,,6.99,4,,,4.5,4.5,4,4.5,4,4,3.5,4.5,5,4.5,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmen's Mexican Food,Adobada,Clairemont,,6.5,3.5,,,2.5,4,3.5,4,4,3,1.5,3.5,5,3.6,,,,x,,,,x,,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,
Carmen's Mexican Food,Carne asada,Clairemont,,6.5,5,,,4.5,4.5,3.5,4,4,3.5,4,4,4,4,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
